
"0"
"AGULHA"
"CORTE"
"DIV"
"DIVERS"
"ELASTI"
"FERROS"
"GRZB"
"LINHA"
"MAQ"
"MAQ."
"MAQ.US"
"MAQUI"
"MAQUIN"
"MOLAS"
"MONTAG"
"MORGAN"
"MOTOR"
"MOTORE"
"PEÃ‡AS"
"PECAS"
"PRIMAV"
"RECOBR"
"ROLAME"
"SCHM"
"VAPOR"
